feature,coefficient,abs_coefficient
frequency_of_use,-2.016624082948427,2.016624082948427
frequency_of_sms,-1.9851827928592312,1.9851827928592312
complaints_0,-1.9825012293365247,1.9825012293365247
complaints_1,1.8073628529381918,1.8073628529381918
age_group_1,-1.4284922301184342,1.4284922301184342
call_failures,1.0809592059124373,1.0809592059124373
age_group_5,-1.006029512816565,1.006029512816565
age_group_2,0.972278179860021,0.972278179860021
charge_amount,-0.8378816044163909,0.8378816044163909
seconds_of_use,0.8179921078394885,0.8179921078394885
status_1,-0.6659509359705967,0.6659509359705967
age_group_3,0.6630214961375028,0.6630214961375028
age_group_4,0.6240836905391915,0.6240836905391915
status_2,0.4908125595722783,0.4908125595722783
distinct_called_numbers,-0.43365388816873607,0.43365388816873607
customer_value,0.3672758448879972,0.3672758448879972
subscription_length,-0.2421568055358088,0.2421568055358088
tariff_plan_1,-0.2416225876983946,0.2416225876983946
age,0.10896859721799916,0.10896859721799916
tariff_plan_2,0.06648421130004344,0.06648421130004344
