model,cv_accuracy_mean,cv_accuracy_std,train_accuracy_mean,cv_precision_mean,cv_precision_std,train_precision_mean,cv_recall_mean,cv_recall_std,train_recall_mean,cv_f1_mean,cv_f1_std,train_f1_mean,cv_roc_auc_mean,cv_roc_auc_std,train_roc_auc_mean
GradientBoostingClassifier,0.9429824561403508,0.011352788689074349,0.9746710526315789,0.8798043987809571,0.042386309926163004,0.9607931635658489,0.7363849765258215,0.04870799315318468,0.873951662372715,0.8011729906991587,0.041586284092558,0.9152994288489882,0.9776248996239643,0.0057821585411820505,0.9960683075045722
KNeighborsClassifier,0.9293859649122806,0.007771949625732161,0.9416666666666667,0.8592898987931132,0.042652442717895284,0.8976468077858153,0.6580985915492958,0.037623509525603095,0.7086909581646423,0.7444452529406675,0.030507551526957017,0.7917836368660955,0.963045513188559,0.016081961899156814,0.9821433156699504
RandomForestClassifier,0.893859649122807,0.005114870083197626,0.9126096491228071,0.6031489384120963,0.010154213184324658,0.6468126669859576,0.9411189358372457,0.02716093075706588,0.9754974849711692,0.7350852443912099,0.014868615829823364,0.7777094606340527,0.9710056854436806,0.007856980502005844,0.9863994624703512
DecisionTreeClassifier,0.8600877192982456,0.02301691537438937,0.868421052631579,0.5344208976689572,0.046287628644601335,0.5492125451015011,0.8737871674491393,0.04449741575381219,0.9005545331861121,0.662769453438079,0.04696379922744409,0.6820320072073943,0.9312124161477705,0.023010220127383792,0.953355290794863
LogisticRegression,0.8421052631578947,0.010379087338771242,0.8421052631578947,0.49793675213675215,0.018579977472017863,0.49760324424516533,0.8739045383411581,0.04504208975128475,0.8746362409520305,0.6340035725656256,0.022525898899191387,0.6343193800865439,0.9350327037191584,0.005571949940726621,0.9395420550507583
DummyClassifier,0.843421052631579,0.0010743376064838806,0.843421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
